,id,gen.father,gen.mother,social.father,social.mother,father,mother,js,f.corr,sex,birth.year
1,1,0,0,115,130,115,130,0,0,NA,1975
2,2,0,0,173,117,173,117,0,0,NA,1975
3,3,0,0,173,117,173,117,1,0,Female,1975
4,4,0,0,173,117,173,117,0,0,NA,1975
5,5,0,0,118,162,118,162,1,0,Female,1975
6,6,0,0,0,0,0,0,1,0,Male,1975
7,7,0,0,0,0,0,0,1,0,Female,1975
8,8,0,0,128,123,128,123,0,0,NA,1975
9,9,0,0,128,123,128,123,0,0,NA,1975
10,10,0,0,171,185,171,185,0,0,NA,1975
11,11,0,0,171,185,171,185,0,0,NA,1975
12,12,0,0,171,185,171,185,0,0,NA,1975
13,13,0,0,155,229,155,229,0,0,NA,1975
14,14,0,0,155,229,155,229,0,0,NA,1975
15,15,0,0,155,229,155,229,0,0,NA,1975
16,16,0,0,155,229,155,229,0,0,NA,1975
17,17,0,0,0,0,0,0,1,0,Female,1975
18,18,0,0,0,0,0,0,0,0,NA,1975
19,19,0,0,0,0,0,0,0,0,NA,1975
20,20,0,0,0,0,0,0,NA,0,Male,NA
21,21,0,0,118,162,118,162,0,0,NA,1976
22,22,0,0,118,162,118,162,0,0,NA,1976
23,23,0,0,118,162,118,162,1,0,Male,1976
24,24,0,0,176,177,176,177,0,0,NA,1976
25,25,0,0,176,177,176,177,1,0,Male,1976
26,26,0,0,0,0,0,0,NA,0,Female,NA
27,27,0,0,137,125,137,125,0,0,NA,1976
28,28,0,0,137,125,137,125,1,0,Male,1976
29,29,0,0,137,125,137,125,0,0,NA,1976
30,30,0,0,155,229,155,229,0,0,NA,1976
31,31,0,0,149,216,149,216,0,0,NA,1976
32,32,0,0,149,216,149,216,1,0,Female,1976
33,33,0,0,149,216,149,216,1,0,Male,1976
34,34,0,0,149,216,149,216,0,0,NA,1976
35,35,0,0,171,170,171,170,0,0,NA,1976
36,36,0,0,171,170,171,170,0,0,NA,1976
37,37,0,0,178,142,178,142,0,0,NA,1976
38,38,0,0,178,142,178,142,0,0,NA,1976
39,39,0,0,178,142,178,142,1,0,Female,1976
40,40,0,0,120,110,120,110,0,0,NA,1976
41,41,0,0,120,110,120,110,0,0,NA,1976
42,42,0,0,120,110,120,110,0,0,NA,1976
43,43,0,0,107,105,107,105,1,0,Male,1976
44,44,0,0,107,105,107,105,0,0,NA,1976
45,45,0,0,107,105,107,105,1,0,Male,1976
46,46,0,0,107,105,107,105,1,0,Female,1976
47,47,0,0,166,230,166,230,0,0,NA,1976
48,48,0,0,166,230,166,230,0,0,NA,1976
