"","id","mintars"
"1",33,19.46
"2",33,NA
"3",52,19.4
"4",53,19.4
"5",55,20.3
"6",55,NA
"7",55,NA
"8",59,20.1
"9",65,19.2
"10",85,19.4
"11",85,20
"12",85,19.9
"13",88,19.9
"14",106,NA
"15",106,19.5
"16",106,21.4
"17",106,19.55
"18",106,19.8
"19",107,20
"20",107,19.7
"21",108,NA
"22",108,20.1
"23",112,19.6
"24",112,NA
"25",112,19.4
"26",114,19.55
"27",114,NA
"28",118,20.3
"29",119,NA
"30",119,18.7
"31",119,NA
"32",120,19.9
"33",121,NA
"34",121,20.1
"35",121,20.1
"36",124,NA
"37",124,20.1
"38",124,19.5
"39",126,NA
"40",130,19.7
"41",133,20.5
"42",133,19.5
"43",138,NA
"44",138,19.5
"45",140,20.1
"46",140,19.7
"47",141,NA
"48",141,20
"49",141,NA
"50",141,NA
"51",142,20.2
"52",142,NA
"53",143,20.4
"54",146,NA
"55",146,NA
"56",146,21.2
"57",146,21
"58",148,NA
"59",148,20.7
"60",150,20.1
"61",150,19.5
"62",150,19.1
"63",151,20
"64",154,19.1
"65",154,NA
"66",154,18.8
"67",154,19.1
"68",155,21.1
"69",155,20.8
"70",155,20.9
"71",155,20.8
"72",155,20.8
"74",156,18.9
"79",157,19.3
"80",157,NA
"82",158,19.8
"83",158,NA
"84",158,NA
"87",159,19
"88",159,19.1
"89",159,NA
"90",160,20.2
"91",160,20.9
"92",160,19.5
"93",161,19.8
"94",161,NA
"95",162,19.6
"96",163,19.4
"97",164,21
"98",164,21.7
"99",164,21.2
"100",164,21.2
"101",165,20.6
"102",166,20
"103",166,20.7
"104",166,20.2
"105",166,NA
"106",166,20.4
"107",166,19.6
"108",166,20.85
"109",167,19.5
"110",168,20.7
"111",169,20.2
"112",170,20.2
"113",171,20.5
"114",171,20.8
"115",172,20.3
"116",173,19.4
"117",173,NA
"118",173,19.9
"119",173,NA
"120",173,NA
"121",174,20.4
"122",175,20.3
"123",176,19.7
"124",176,19.4
"125",176,19.75
"126",176,19.4
"127",177,19.9
"128",178,20.4
"129",178,20.15
"130",178,20.25
"131",179,19.7
"132",180,19.7
"133",180,19.4
"134",181,19.6
"135",181,19.5
"136",181,19.5
"137",181,19.4
"138",182,21.3
"139",182,21.6
"140",183,19
"141",183,22
"142",184,21.1
"143",184,20.9
"144",184,21.3
"145",185,20.7
"146",185,NA
"147",188,19.8
"148",188,19.7
"149",200,19.7
"150",200,19.6
"151",201,NA
"152",202,20.1
