"id" "father" "mother" "generation" "sex"
"1" 1 NA NA 1 1
"2" 2 NA NA 1 1
"3" 3 NA NA 1 1
"4" 4 NA NA 1 1
"5" 5 NA NA 1 1
"6" 6 NA NA 1 1
"7" 7 NA NA 1 1
"8" 8 NA NA 1 1
"9" 9 NA NA 1 1
"10" 10 NA NA 1 1
"11" 11 NA NA 1 1
"12" 12 NA NA 1 1
"13" 13 NA NA 1 1
"14" 14 NA NA 1 1
"15" 15 NA NA 1 1
"16" 16 NA NA 1 1
"17" 17 NA NA 1 1
"18" 18 NA NA 1 1
"19" 19 NA NA 1 2
"20" 20 NA NA 1 1
"21" 21 NA NA 1 1
"22" 22 NA NA 1 1
"23" 23 NA NA 1 2
"24" 24 NA NA 1 2
"25" 25 NA NA 1 1
"26" 26 NA NA 1 2
"27" 27 NA NA 1 2
"28" 28 NA NA 1 2
"29" 29 NA NA 1 2
"30" 30 NA NA 1 2
"31" 31 NA NA 1 2
"32" 32 NA NA 1 2
"33" 33 NA NA 1 2
"34" 34 NA NA 1 2
"35" 35 NA NA 1 2
"36" 36 NA NA 1 2
"37" 37 NA NA 1 2
"38" 38 NA NA 1 2
"39" 39 NA NA 1 2
"40" 40 NA NA 1 2
"41" 41 NA NA 1 2
"42" 42 NA NA 1 2
"43" 43 NA NA 1 2
"44" 44 NA NA 1 2
"45" 45 NA NA 1 2
"46" 46 NA NA 1 1
"47" 47 NA NA 1 2
"48" 48 NA NA 1 2
"49" 49 NA NA 1 1
"50" 50 NA NA 1 2
"51" 51 2 33 2 1
"52" 52 13 40 2 1
"53" 53 8 43 2 1
"54" 54 7 33 2 1
"55" 55 14 31 2 1
"56" 56 6 38 2 1
"57" 57 14 43 2 1
"58" 58 17 45 2 1
"59" 59 5 33 2 1
"60" 60 4 29 2 1
"61" 61 2 39 2 1
"62" 62 3 39 2 1
"63" 63 16 33 2 1
"64" 64 14 27 2 1
"65" 65 9 34 2 1
"66" 66 18 43 2 1
"67" 67 5 43 2 1
"68" 68 17 37 2 1
"69" 69 3 34 2 2
"70" 70 11 27 2 1
"71" 71 2 42 2 1
"72" 72 12 43 2 1
"73" 73 6 40 2 2
"74" 74 4 27 2 1
"75" 75 3 30 2 1
"76" 76 4 26 2 2
"77" 77 17 40 2 2
"78" 78 7 42 2 2
"79" 79 1 44 2 2
"80" 80 16 29 2 2
"81" 81 2 33 2 2
"82" 82 20 28 2 2
"83" 83 16 30 2 2
"84" 84 11 36 2 2
"85" 85 15 28 2 2
"86" 86 18 35 2 2
"87" 87 7 29 2 2
"88" 88 17 41 2 2
"89" 89 7 39 2 2
"90" 90 16 32 2 2
"91" 91 14 32 2 2
"92" 92 6 39 2 2
"93" 93 11 33 2 2
"94" 94 1 30 2 2
"95" 95 8 27 2 2
"96" 96 13 34 2 1
"97" 97 13 40 2 2
"98" 98 18 43 2 1
"99" 99 17 26 2 2
"100" 100 2 28 2 2
"101" 101 70 81 3 1
"102" 102 54 94 3 1
"103" 103 64 95 3 1
"104" 104 61 86 3 2
"105" 105 57 91 3 1
"106" 106 54 79 3 1
"107" 107 68 93 3 1
"108" 108 56 79 3 1
"109" 109 67 95 3 1
"110" 110 59 84 3 1
"111" 111 60 84 3 1
"112" 112 56 90 3 1
"113" 113 68 88 3 1
"114" 114 51 82 3 1
"115" 115 52 85 3 1
"116" 116 68 91 3 1
"117" 117 58 83 3 1
"118" 118 60 94 3 1
"119" 119 52 78 3 2
"120" 120 54 92 3 1
"121" 121 56 89 3 1
"122" 122 51 95 3 2
"123" 123 59 89 3 1
"124" 124 62 86 3 2
"125" 125 63 80 3 1
"126" 126 66 79 3 2
"127" 127 56 81 3 2
"128" 128 63 76 3 2
"129" 129 56 91 3 2
"130" 130 61 77 3 2
"131" 131 70 76 3 2
"132" 132 56 83 3 2
"133" 133 64 87 3 2
"134" 134 58 85 3 2
"135" 135 53 95 3 2
"136" 136 56 88 3 2
"137" 137 62 76 3 2
"138" 138 60 95 3 2
"139" 139 63 94 3 2
"140" 140 51 91 3 2
"141" 141 55 78 3 2
"142" 142 57 93 3 2
"143" 143 52 85 3 2
"144" 144 70 78 3 2
"145" 145 68 92 3 2
"146" 146 54 86 3 1
"147" 147 62 80 3 2
"148" 148 68 76 3 1
"149" 149 55 94 3 2
"150" 150 65 91 3 1
"151" 151 113 138 4 1
"152" 152 105 126 4 1
"153" 153 106 142 4 1
"154" 154 102 139 4 1
"155" 155 112 137 4 1
"156" 156 112 132 4 1
"157" 157 117 128 4 1
"158" 158 114 136 4 1
"159" 159 107 145 4 1
"160" 160 111 136 4 1
"161" 161 108 136 4 1
"162" 162 108 127 4 1
"163" 163 114 136 4 1
"164" 164 101 134 4 1
"165" 165 110 136 4 1
"166" 166 109 131 4 1
"167" 167 102 136 4 1
"168" 168 116 128 4 1
"169" 169 105 139 4 1
"170" 170 103 133 4 1
"171" 171 115 127 4 1
"172" 172 109 128 4 2
"173" 173 102 143 4 2
"174" 174 105 140 4 2
"175" 175 113 145 4 1
"176" 176 116 142 4 2
"177" 177 120 133 4 2
"178" 178 103 129 4 2
"179" 179 118 127 4 2
"180" 180 114 137 4 2
"181" 181 109 144 4 2
"182" 182 120 140 4 2
"183" 183 114 143 4 2
"184" 184 109 132 4 2
"185" 185 109 126 4 2
"186" 186 110 133 4 2
"187" 187 105 128 4 1
"188" 188 103 136 4 2
"189" 189 106 138 4 2
"190" 190 112 143 4 2
"191" 191 102 132 4 2
"192" 192 109 130 4 2
"193" 193 105 131 4 2
"194" 194 118 140 4 2
"195" 195 112 141 4 2
"196" 196 105 137 4 2
"197" 197 113 145 4 1
"198" 198 111 129 4 2
"199" 199 109 127 4 2
"200" 200 102 133 4 2
"201" 201 166 186 5 1
"202" 202 155 178 5 1
"203" 203 160 191 5 1
"204" 204 156 189 5 1
"205" 205 152 191 5 1
"206" 206 153 193 5 1
"207" 207 156 177 5 1
"208" 208 164 176 5 1
"209" 209 161 182 5 1
"210" 210 151 184 5 1
"211" 211 165 176 5 1
"212" 212 168 176 5 1
"213" 213 169 194 5 1
"214" 214 158 178 5 1
"215" 215 159 192 5 1
"216" 216 158 189 5 1
"217" 217 160 181 5 1
"218" 218 156 182 5 1
"219" 219 155 190 5 1
"220" 220 160 189 5 1
"221" 221 157 186 5 1
"222" 222 163 195 5 1
"223" 223 153 183 5 2
"224" 224 166 186 5 2
"225" 225 170 192 5 1
"226" 226 162 181 5 2
"227" 227 167 177 5 2
"228" 228 154 188 5 2
"229" 229 164 183 5 2
"230" 230 157 193 5 2
"231" 231 152 180 5 2
"232" 232 161 191 5 2
"233" 233 152 190 5 2
"234" 234 151 180 5 2
"235" 235 153 189 5 2
"236" 236 165 189 5 2
"237" 237 160 178 5 2
"238" 238 165 179 5 2
"239" 239 169 184 5 2
"240" 240 170 176 5 2
"241" 241 153 185 5 2
"242" 242 157 182 5 2
"243" 243 154 190 5 2
"244" 244 155 183 5 2
"245" 245 159 176 5 2
"246" 246 163 184 5 2
"247" 247 170 178 5 1
"248" 248 160 183 5 1
"249" 249 151 195 5 1
"250" 250 170 185 5 2
"251" 251 218 226 6 1
"252" 252 202 236 6 1
"253" 253 207 231 6 1
"254" 254 217 234 6 1
"255" 255 203 243 6 1
"256" 256 213 226 6 1
"257" 257 211 243 6 1
"258" 258 202 229 6 1
"259" 259 216 228 6 1
"260" 260 220 235 6 1
"261" 261 205 230 6 1
"262" 262 204 239 6 1
"263" 263 204 226 6 1
"264" 264 201 234 6 1
"265" 265 206 236 6 1
"266" 266 208 232 6 1
"267" 267 204 227 6 1
"268" 268 220 236 6 1
"269" 269 219 244 6 1
"270" 270 205 231 6 1
"271" 271 206 231 6 2
"272" 272 216 245 6 1
"273" 273 201 237 6 2
"274" 274 212 244 6 2
"275" 275 204 245 6 2
"276" 276 206 242 6 2
"277" 277 215 229 6 2
"278" 278 220 237 6 2
"279" 279 219 242 6 2
"280" 280 205 228 6 2
"281" 281 203 240 6 2
"282" 282 220 226 6 2
"283" 283 218 227 6 2
"284" 284 213 234 6 2
"285" 285 211 226 6 2
"286" 286 211 230 6 2
"287" 287 209 239 6 1
"288" 288 209 236 6 2
"289" 289 214 229 6 2
"290" 290 201 226 6 2
"291" 291 214 243 6 2
"292" 292 216 231 6 2
"293" 293 208 235 6 2
"294" 294 211 239 6 2
"295" 295 212 239 6 1
"296" 296 206 245 6 2
"297" 297 208 230 6 1
"298" 298 201 240 6 2
"299" 299 219 229 6 2
"300" 300 204 243 6 2
"301" 301 254 288 7 1
"302" 302 257 281 7 1
"303" 303 256 293 7 1
"304" 304 260 280 7 1
"305" 305 260 291 7 1
"306" 306 270 289 7 1
"307" 307 261 288 7 1
"308" 308 260 290 7 1
"309" 309 253 289 7 1
"310" 310 259 290 7 1
"311" 311 253 280 7 1
"312" 312 266 293 7 1
"313" 313 266 280 7 1
"314" 314 267 288 7 1
"315" 315 259 279 7 1
"316" 316 267 278 7 1
"317" 317 257 281 7 1
"318" 318 269 285 7 1
"319" 319 251 292 7 1
"320" 320 257 281 7 1
"321" 321 267 284 7 2
"322" 322 252 280 7 1
"323" 323 260 286 7 1
"324" 324 266 284 7 1
"325" 325 264 286 7 1
"326" 326 261 283 7 2
"327" 327 262 277 7 1
"328" 328 254 292 7 2
"329" 329 263 290 7 2
"330" 330 253 293 7 1
"331" 331 253 285 7 2
"332" 332 259 290 7 2
"333" 333 253 282 7 2
"334" 334 255 293 7 2
"335" 335 259 279 7 2
"336" 336 262 280 7 2
"337" 337 262 281 7 2
"338" 338 256 280 7 2
"339" 339 266 293 7 2
"340" 340 259 278 7 2
"341" 341 255 283 7 2
"342" 342 266 279 7 2
"343" 343 261 284 7 2
"344" 344 266 279 7 2
"345" 345 266 280 7 2
"346" 346 256 294 7 2
"347" 347 262 278 7 1
"348" 348 255 279 7 1
"349" 349 270 278 7 2
"350" 350 251 281 7 2
"351" 351 312 335 8 1
"352" 352 313 341 8 2
"353" 353 301 335 8 1
"354" 354 316 333 8 1
"355" 355 305 339 8 1
"356" 356 308 332 8 1
"357" 357 305 337 8 1
"358" 358 312 344 8 1
"359" 359 301 343 8 1
"360" 360 307 331 8 1
"361" 361 310 344 8 1
"362" 362 312 334 8 1
"363" 363 312 334 8 1
"364" 364 305 337 8 1
"365" 365 306 345 8 1
"366" 366 312 331 8 1
"367" 367 310 335 8 1
"368" 368 315 341 8 1
"369" 369 309 342 8 1
"370" 370 318 343 8 1
"371" 371 314 341 8 1
"372" 372 314 344 8 1
"373" 373 312 328 8 2
"374" 374 302 342 8 2
"375" 375 301 336 8 2
"376" 376 307 335 8 2
"377" 377 318 345 8 2
"378" 378 312 343 8 2
"379" 379 316 342 8 2
"380" 380 320 337 8 2
"381" 381 320 334 8 2
"382" 382 315 340 8 2
"383" 383 309 333 8 2
"384" 384 312 335 8 2
"385" 385 316 338 8 2
"386" 386 318 345 8 2
"387" 387 315 334 8 2
"388" 388 317 336 8 2
"389" 389 304 344 8 2
"390" 390 308 331 8 2
"391" 391 307 334 8 2
"392" 392 314 340 8 2
"393" 393 318 336 8 2
"394" 394 320 334 8 2
"395" 395 313 343 8 2
"396" 396 313 342 8 2
"397" 397 311 342 8 1
"398" 398 304 326 8 1
"399" 399 317 339 8 2
"400" 400 301 332 8 1
"401" 401 364 390 9 1
"402" 402 362 389 9 1
"403" 403 369 390 9 1
"404" 404 351 380 9 1
"405" 405 365 385 9 1
"406" 406 357 386 9 1
"407" 407 361 379 9 1
"408" 408 355 391 9 1
"409" 409 362 389 9 1
"410" 410 351 390 9 1
"411" 411 365 387 9 1
"412" 412 351 384 9 1
"413" 413 351 383 9 1
"414" 414 357 380 9 1
"415" 415 366 394 9 1
"416" 416 367 390 9 1
"417" 417 364 389 9 1
"418" 418 360 379 9 1
"419" 419 358 377 9 1
"420" 420 363 394 9 1
"421" 421 368 378 9 2
"422" 422 367 380 9 1
"423" 423 362 383 9 2
"424" 424 363 382 9 1
"425" 425 370 389 9 2
"426" 426 370 376 9 2
"427" 427 355 392 9 2
"428" 428 370 383 9 2
"429" 429 367 376 9 2
"430" 430 369 392 9 2
"431" 431 351 395 9 2
"432" 432 366 384 9 2
"433" 433 363 395 9 2
"434" 434 366 389 9 2
"435" 435 362 392 9 2
"436" 436 364 394 9 2
"437" 437 362 391 9 2
"438" 438 355 394 9 2
"439" 439 361 384 9 1
"440" 440 358 388 9 2
"441" 441 370 382 9 2
"442" 442 368 392 9 2
"443" 443 357 381 9 2
"444" 444 366 385 9 2
"445" 445 359 382 9 2
"446" 446 360 376 9 1
"447" 447 361 389 9 1
"448" 448 354 394 9 1
"449" 449 361 376 9 1
"450" 450 356 383 9 2
"451" 451 406 445 10 2
"452" 452 413 445 10 1
"453" 453 420 442 10 1
"454" 454 413 429 10 1
"455" 455 418 437 10 1
