"sex" "f_inb" "animal.id" "id" "year" "animal" "y"
"1" 1 0 1 1 1 1 12.9924151352835
"2" 1 0 2 2 1 2 11.5923024966425
"3" 1 0 3 3 1 3 14.0285420137292
"4" 1 0 4 4 1 4 12.3564420389301
"5" 1 0 5 5 1 5 12.8224157659144
"6" 1 0 6 6 1 6 10.1261619530451
"7" 1 0 7 7 1 7 12.3211426805921
"8" 1 0 8 8 1 8 12.8622492127786
"9" 1 0 9 9 1 9 12.5740712870935
"10" 1 0 10 10 1 10 13.2178537251446
"11" 1 0 11 11 1 11 11.2901896474735
"12" 1 0 12 12 1 12 10.2573077036668
"13" 1 0 13 13 1 13 12.8128327469993
"14" 1 0 14 14 1 14 13.033245374548
"15" 1 0 15 15 1 15 15.1943435254896
"16" 1 0 16 16 1 16 12.9446987001831
"17" 1 0 17 17 1 17 11.1684912513514
"18" 1 0 18 18 1 18 12.9974869928911
"19" 2 0 19 19 1 19 15.2408412683909
"20" 1 0 20 20 1 20 11.8335463720128
"21" 1 0 21 21 1 21 10.2018272913043
"22" 1 0 22 22 1 22 13.3790644573953
"23" 2 0 23 23 1 23 14.1269645045177
"24" 2 0 24 24 1 24 15.2836103648174
"25" 1 0 25 25 1 25 13.4590481664802
"26" 2 0 26 26 1 26 15.5644152527071
"27" 2 0 27 27 1 27 14.7018152528062
"28" 2 0 28 28 1 28 14.0640942427145
"29" 2 0 29 29 1 29 14.2846318971815
"30" 2 0 30 30 1 30 14.4901006609769
"31" 2 0 31 31 1 31 12.1241384670709
"32" 2 0 32 32 1 32 13.8570497532341
"33" 2 0 33 33 1 33 14.2579901267951
"34" 2 0 34 34 1 34 14.0935711682379
"35" 2 0 35 35 1 35 14.0835541051998
"36" 2 0 36 36 1 36 15.3153505383183
"37" 2 0 37 37 1 37 12.0202116132137
"38" 2 0 38 38 1 38 15.8914526333214
"39" 2 0 39 39 1 39 14.7798472161563
"40" 2 0 40 40 1 40 14.5969221044497
"41" 2 0 41 41 1 41 13.5820554557517
"42" 2 0 42 42 1 42 13.5496036601905
"43" 2 0 43 43 1 43 13.8197076274403
"44" 2 0 44 44 1 44 15.0532503707234
"45" 2 0 45 45 1 45 12.159947996173
"46" 1 0 46 46 1 46 11.6226636631366
"47" 2 0 47 47 1 47 18.4654286065126
"48" 2 0 48 48 1 48 14.2341885383447
"49" 1 0 49 49 1 49 13.981628886318
"50" 2 0 50 50 1 50 14.3029323928544
"51" 1 0 51 51 2 51 12.7731654114203
"52" 1 0 52 52 2 52 10.4355180774959
"53" 1 0 53 53 2 53 12.7935640765022
"54" 1 0 54 54 2 54 10.1130631547296
"55" 1 0 55 55 2 55 12.5953788370551
"56" 1 0 56 56 2 56 12.3570760224847
"57" 1 0 57 57 2 57 14.2151628308111
"58" 1 0 58 58 2 58 11.8717807887679
"59" 1 0 59 59 2 59 12.4701357135674
"60" 1 0 60 60 2 60 13.0201296819093
"61" 1 0 61 61 2 61 12.961508166279
"62" 1 0 62 62 2 62 13.2674372955
"63" 1 0 63 63 2 63 11.7737922556735
"64" 1 0 64 64 2 64 11.8736266253202
"65" 1 0 65 65 2 65 12.6718417007042
"66" 1 0 66 66 2 66 12.0313944905553
"67" 1 0 67 67 2 67 10.6473568097247
"68" 1 0 68 68 2 68 11.4132641656108
"69" 2 0 69 69 2 69 13.3385154268636
"70" 1 0 70 70 2 70 13.6852040783158
"71" 1 0 71 71 2 71 10.6441499317962
"72" 1 0 72 72 2 72 11.7232199863213
"73" 2 0 73 73 2 73 12.7738662338924
"74" 1 0 74 74 2 74 11.1093356754444
"75" 1 0 75 75 2 75 11.0307985120764
"76" 2 0 76 76 2 76 14.1583133386241
"77" 2 0 77 77 2 77 14.4608236669994
"78" 2 0 78 78 2 78 15.0808804999483
"79" 2 0 79 79 2 79 14.7632962330952
"80" 2 0 80 80 2 80 14.1554329491688
"81" 2 0 81 81 2 81 14.1561297855655
"82" 2 0 82 82 2 82 13.0793528119172
"83" 2 0 83 83 2 83 13.1265357755527
"84" 2 0 84 84 2 84 14.9137864159347
"85" 2 0 85 85 2 85 13.6624606619929
"86" 2 0 86 86 2 86 13.977980897016
"87" 2 0 87 87 2 87 14.2811529631102
"88" 2 0 88 88 2 88 14.4377663969162
"89" 2 0 89 89 2 89 13.4732105716334
"90" 2 0 90 90 2 90 13.4921367616486
"91" 2 0 91 91 2 91 13.4320204301416
"92" 2 0 92 92 2 92 13.7906461010435
"93" 2 0 93 93 2 93 14.0102585579915
"94" 2 0 94 94 2 94 14.7968570185249
"95" 2 0 95 95 2 95 15.611243382649
"96" 1 0 96 96 2 96 11.6193733953239
"97" 2 0 97 97 2 97 12.1891667002471
"98" 1 0 98 98 2 98 13.9608813579616
"99" 2 0 99 99 2 99 15.4808499397821
"100" 2 0 100 100 2 100 15.5145994793192
"101" 1 0 101 101 3 101 12.9158707767981
"102" 1 0 102 102 3 102 11.1035172220587
"103" 1 0.125 103 103 3 103 10.0043602105379
"104" 2 0 104 104 3 104 14.0352257232742
"105" 1 0.125 105 105 3 105 9.43149829408646
"106" 1 0 106 106 3 106 11.5094295038732
"107" 1 0 107 107 3 107 10.339576999721
"108" 1 0 108 108 3 108 10.4252627737326
"109" 1 0 109 109 3 109 10.4689142793538
"110" 1 0 110 110 3 110 12.4461924746381
"111" 1 0 111 111 3 111 13.2017335758919
"112" 1 0 112 112 3 112 12.8151946404222
"113" 1 0.125 113 113 3 113 8.53320362781787
"114" 1 0 114 114 3 114 13.7732768596495
"115" 1 0 115 115 3 115 10.2518596660789
"116" 1 0 116 116 3 116 12.342699583278
"117" 1 0 117 117 3 117 11.4538259770417
"118" 1 0 118 118 3 118 12.7856607770428
"119" 2 0 119 119 3 119 13.3381192355796
"120" 1 0 120 120 3 120 12.1262153741048
